a.m.,上午
afternoon,下午
ago,以前
already,已經
April,四月
August,八月
autumn,秋天
fall,秋天
clock,時鐘
day,日子
December,十二月
early,早的
evening,傍晚
February,二月
Friday,星期五
future,未來
half,一半
hour,小時
January,一月
July,七月
June,六月
last,最後的
late,遲的
later,稍後
March,三月
May,五月
minute,分鐘
moment,時刻
Monday,星期一
month,月分
morning,早晨
next,下一個的
night,晚上
noon,中午
November,十一月
now,現在
o’clock,點鐘
October,十月
once,一次
p.m.,下午
past,過去
Saturday,星期六
season,季節
second,秒
September,九月
soon,很快
spring,春天
summer,夏天
Sunday,星期日
Thursday,星期四
time,時間
today,今天
tomorrow,明天
tonight,今晚
Tuesday,星期二
watch,手錶
Wednesday,星期三
week,星期
weekend,周末
winter,冬天
year,年
yesterday,昨天
